# Apache Doris built-in functions covered by the official-document function fixtures.
# Generated 2026-09-14. Format: minimum-major-maximum-major|function-name.
1-4|abs
1-4|acos
1-4|acosh
1-4|add_time
1-4|aes_decrypt
1-4|aes_encrypt
1-4|ai_agg
1-4|ai_classify
1-4|ai_extract
1-4|ai_filter
1-4|ai_fixgrammar
1-4|ai_generate
1-4|ai_mask
1-4|ai_sentiment
1-4|ai_similarity
1-4|ai_summarize
1-4|ai_translate
1-4|any_value
1-4|append_trailing_char_if_absent
1-4|approx_count_distinct
1-4|array
1-4|array_agg
1-4|array_agg_foreach
1-4|array_apply
1-4|array_avg
1-4|array_compact
1-4|array_concat
1-4|array_contains
1-4|array_contains_all
1-4|array_count
1-4|array_cross_product
1-4|array_cum_sum
1-4|array_difference
1-4|array_distinct
1-4|array_enumerate
1-4|array_enumerate_uniq
1-4|array_except
1-4|array_except_all
1-4|array_exists
1-4|array_filter
1-4|array_first
1-4|array_first_index
1-4|array_flatten
1-4|array_intersect
1-4|array_join
1-4|array_last
1-4|array_last_index
1-4|array_map
1-4|array_match_all
1-4|array_match_any
1-4|array_max
1-4|array_min
1-4|array_popback
1-4|array_popfront
1-4|array_position
1-4|array_product
1-4|array_pushback
1-4|array_pushfront
1-4|array_range
1-4|array_remove
1-4|array_repeat
1-4|array_reverse_sort
1-4|array_reverse_split
1-4|array_shuffle
1-4|array_size
1-4|array_slice
1-4|array_sort
1-4|array_sortby
1-4|array_split
1-4|array_sum
1-4|array_union
1-4|array_with_constant
1-4|array_zip
1-4|arrays_overlap
1-4|ascii
1-4|asin
1-4|asinh
1-4|atan
1-4|atan2
1-4|atanh
1-4|auto_partition_name
1-4|avg
1-4|avg_map
1-4|avg_weighted
1-4|azure
1-4|backends
1-4|bin
1-4|bit_count
1-4|bit_length
1-4|bit_shift_left
1-4|bit_shift_right
1-4|bit_test
1-4|bitand
1-4|bitmap_agg
1-4|bitmap_and
1-4|bitmap_and_count
1-4|bitmap_and_not
1-4|bitmap_and_not_count
1-4|bitmap_contains
1-4|bitmap_count
1-4|bitmap_empty
1-4|bitmap_from_array
1-4|bitmap_from_base64
1-4|bitmap_from_string
1-4|bitmap_has_all
1-4|bitmap_has_any
1-4|bitmap_hash
1-4|bitmap_hash64
1-4|bitmap_intersect
1-4|bitmap_max
1-4|bitmap_min
1-4|bitmap_not
1-4|bitmap_or
1-4|bitmap_or_count
1-4|bitmap_remove
1-4|bitmap_subset_in_range
1-4|bitmap_subset_limit
1-4|bitmap_to_array
1-4|bitmap_to_base64
1-4|bitmap_to_string
1-4|bitmap_union
1-4|bitmap_union_count
1-4|bitmap_union_int
1-4|bitmap_xor
1-4|bitmap_xor_count
1-4|bitnot
1-4|bitor
1-4|bool_and
1-4|bool_or
1-4|bool_xor
1-4|cast
1-4|catalogs
1-4|cbrt
1-4|cdc_stream
1-4|ceil
1-4|century
1-4|char
1-4|char_length
1-4|coalesce
1-4|collect_list
1-4|collect_set
1-4|compress
1-4|concat
1-4|concat_ws
1-4|connection_id
1-4|conv
1-4|convert_to
1-4|convert_tz
1-4|corr
1-4|corr_welford
1-4|cos
1-4|cosh
1-4|cosine_distance
1-4|cosine_similarity
1-4|cot
1-4|count
1-4|count_by_enum
1-4|count_foreach
1-4|count_map
1-4|count_substrings
1-4|countequal
1-4|covar
1-4|covar_pop
1-4|covar_samp
1-4|crc32
1-4|csc
1-4|cume_dist
1-4|curdate
1-4|current_catalog
1-4|current_user
1-4|curtime
1-4|cut_ipv6
1-4|cut_to_first_significant_subdomain
1-4|damerau_levenshtein_distance
1-4|database
1-4|datasketches_hll_union_agg
1-4|date
1-4|date_add
1-4|date_ceil
1-4|date_diff
1-4|date_floor
1-4|date_format
1-4|date_sub
1-4|date_trunc
1-4|datediff
1-4|datetime
1-4|day
1-4|day_ceil
1-4|day_floor
1-4|dayname
1-4|dayofweek
1-4|dayofyear
1-4|deduplicate_map
1-4|default
1-4|degrees
1-4|dense_rank
1-4|digital_masking
1-4|domain
1-4|domain_without_www
1-4|e
1-4|element_at
1-4|elt
1-4|embed
1-4|ends_with
1-4|esquery
1-4|even
1-4|exp
1-4|explode
1-4|explode_bitmap
1-4|explode_bitmap_outer
1-4|explode_json_array_double
1-4|explode_json_array_double_outer
1-4|explode_json_array_int
1-4|explode_json_array_int_outer
1-4|explode_json_array_json
1-4|explode_json_array_json_outer
1-4|explode_json_array_string
1-4|explode_json_array_string_outer
1-4|explode_json_object
1-4|explode_map
1-4|explode_map_outer
1-4|explode_numbers
1-4|explode_numbers_outer
1-4|explode_outer
1-4|explode_split
1-4|explode_split_outer
1-4|exponential_moving_average
1-4|export_set
1-4|extract
1-4|extract_url_parameter
1-4|factorial
1-4|field
1-4|file
1-4|find_in_set
1-4|first_significant_subdomain
1-4|first_value
1-4|floor
1-4|fmod
1-4|format
1-4|format_number
1-4|format_round
1-4|from_base64
1-4|from_base64_binary
1-4|from_days
1-4|from_hex
1-4|from_iso8601_date
1-4|from_microsecond
1-4|from_millisecond
1-4|from_second
1-4|from_unixtime
1-4|frontends
1-4|frontends_disks
1-4|gcd
1-4|gcs
1-4|geometrycollection
1-4|get_format
1-4|get_json_bigint
1-4|get_json_double
1-4|get_json_int
1-4|get_json_string
1-4|greatest
1-4|group_array_intersect
1-4|group_array_union
1-4|group_bit_and
1-4|group_bit_or
1-4|group_bit_xor
1-4|group_bitmap_xor
1-4|group_concat
1-4|group_concat_merge
1-4|group_concat_state
1-4|group_concat_union
1-4|grouping
1-4|grouping_id
1-4|hamming_distance
1-4|hdfs
1-4|hex
1-4|histogram
1-4|hll_cardinality
1-4|hll_empty
1-4|hll_from_base64
1-4|hll_hash
1-4|hll_raw_agg
1-4|hll_to_base64
1-4|hll_union_agg
1-4|hour
1-4|hour_ceil
1-4|hour_floor
1-4|hours_add
1-4|hours_diff
1-4|hours_sub
1-4|http
1-4|hudi_meta
1-4|iceberg_meta
1-4|if
1-4|ifnull
1-4|initcap
1-4|inner_product
1-4|inner_product_approximate
1-4|instr
1-4|int_to_uuid
1-4|intersect_count
1-4|interval
1-4|ipv4_cidr_to_range
1-4|ipv4_num_to_string
1-4|ipv4_string_to_num
1-4|ipv4_string_to_num_or_default
1-4|ipv4_string_to_num_or_null
1-4|ipv4_to_ipv6
1-4|ipv6_cidr_to_range
1-4|ipv6_num_to_string
1-4|ipv6_string_to_num
1-4|ipv6_string_to_num_or_default
1-4|ipv6_string_to_num_or_null
1-4|is_ip_address_in_range
1-4|is_ipv4_compat
1-4|is_ipv4_mapped
1-4|is_ipv4_string
1-4|is_ipv6_string
1-4|is_uuid
1-4|is_valid_utf8
1-4|isinf
1-4|isnan
1-4|jdbc
1-4|jobs
1-4|json_array
1-4|json_array_ignore_null
1-4|json_contains
1-4|json_each
1-4|json_each_outer
1-4|json_each_text
1-4|json_each_text_outer
1-4|json_exists_path
1-4|json_extract
1-4|json_extract_bigint
1-4|json_extract_bool
1-4|json_extract_double
1-4|json_extract_int
1-4|json_extract_isnull
1-4|json_extract_largeint
1-4|json_extract_string
1-4|json_hash
1-4|json_insert
1-4|json_keys
1-4|json_length
1-4|json_object
1-4|json_object_flatten
1-4|json_parse
1-4|json_parse_error_to_null
1-4|json_parse_error_to_value
1-4|json_quote
1-4|json_remove
1-4|json_replace
1-4|json_search
1-4|json_set
1-4|json_type
1-4|json_unquote
1-4|json_valid
1-4|kurt
1-4|kurt_pop
1-4|kurtosis
1-4|l1_distance
1-4|l2_distance
1-4|l2_distance_approximate
1-4|lag
1-4|last_day
1-4|last_query_id
1-4|last_value
1-4|lcase
1-4|lcm
1-4|lead
1-4|least
1-4|length
1-4|levenshtein
1-4|linear_histogram
1-4|linestring
1-4|ln
1-4|local
1-4|locate
1-4|log
1-4|log10
1-4|log2
1-4|lpad
1-4|ltrim
1-4|ltrim_in
1-4|make_set
1-4|makedate
1-4|maketime
1-4|map
1-4|map_agg
1-4|map_agg_foreach
1-4|map_contains_entry
1-4|map_contains_key
1-4|map_contains_value
1-4|map_entries
1-4|map_from_arrays
1-4|map_from_entries
1-4|map_keys
1-4|map_size
1-4|map_values
1-4|mask
1-4|mask_first_n
1-4|mask_last_n
1-4|max
1-4|max_by
1-4|max_by_merge
1-4|max_by_state
1-4|max_by_union
1-4|max_map
1-4|md5
1-4|md5sum
1-4|median
1-4|microsecond
1-4|microsecond_timestamp
1-4|microseconds_add
1-4|microseconds_diff
1-4|microseconds_sub
1-4|millisecond_timestamp
1-4|milliseconds_add
1-4|milliseconds_diff
1-4|milliseconds_sub
1-4|min
1-4|min_by
1-4|min_map
1-4|minute
1-4|minute_ceil
1-4|minute_floor
1-4|minutes_add
1-4|minutes_diff
1-4|minutes_sub
1-4|mod
1-4|money_format
1-4|month
1-4|month_ceil
1-4|month_floor
1-4|monthname
1-4|months_add
1-4|months_between
1-4|months_diff
1-4|months_sub
1-4|multi_match_any
1-4|multi_search_all_positions
1-4|murmur_hash3_32
1-4|murmur_hash3_64
1-4|murmur_hash3_64_v2
1-4|murmur_hash3_u64_v2
1-4|mv_infos
1-4|named_struct
1-4|nanosecond
1-4|nanoseconds_add
1-4|nanoseconds_diff
1-4|nanoseconds_sub
1-4|negative
1-4|next_day
1-4|ngram_search
1-4|normal_cdf
1-4|normalize_json_numbers_to_double
1-4|not_null_or_empty
1-4|now
1-4|ntile
1-4|null_or_empty
1-4|nullif
1-4|numbers
1-4|odbc
1-4|over
1-4|overlay
1-4|parquet_meta
1-4|parse_data_size
1-4|parse_to_variant
1-4|parse_url
1-4|partition_values
1-4|partitions
1-4|percent_rank
1-4|percentile
1-4|percentile_approx
1-4|percentile_approx_array
1-4|percentile_approx_weighted
1-4|percentile_array
